Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
БОРА ТРИФТОРИДА ДИГИДРАТ	2851	8	C1	80	II	2
ДИПИКРИЛСУЛЬФИД УВЛАЖНЕННЫЙ с массовой долей воды не менее 10%	2852	4.1	D		I	1
МАГНИЯ ФТОРОСИЛИКАТ	2853	6.1	T5	60	III	2
АММОНИЯ ФТОРОСИЛИКАТ	2854	6.1	T5	60	III	2
ЦИНКА ФТОРОСИЛИКАТ	2855	6.1	T5	60	III	2
ФТОРОСИЛИКАТЫ, Н.У.К.	2856	6.1	T5	60	III	2
РЕФРИЖЕРАТОРНЫЕ УСТАНОВКИ, содержащие невоспламеняющийся нетоксичный сжиженный газ или аммиака раствор (№ ООН 2672)	2857	2	6A			3
ЦИРКОНИЙ СУХОЙ в виде спиралей из проволоки, обработанных металлических листов, полос (тоньше 254 микрон, но не тоньше 18 микрон)	2858	4.1	F3	40	III	3
АММОНИЯ МЕТАВАНАДАТ	2859	6.1	T5	60	II	2
АММОНИЯ ПОЛИВАНАДАТ	2861	6.1	T5	60	II	2
ВАНАДИЯ ПЕНТАОКСИД неплавленный	2862	6.1	T5	60	III	2
НАТРИЯ-АММОНИЯ ВАНАДАТ	2863	6.1	T5	60	II	2
КАЛИЯ МЕТАВАНАДАТ	2864	6.1	T5	60	II	2
ГИДРОКСИЛАМИНА СУЛЬФАТ	2865	8	C2	80	III	3
ТИТАНА ТРИХЛОРИДА СМЕСЬ	2869	8	C2	80	II	2
ТИТАНА ТРИХЛОРИДА СМЕСЬ	2869	8	C2	80	III	3
АЛЮМИНИЯ БОРГИДРИД	2870	4.2	SW	X333	I	0
АЛЮМИНИЯ БОРГИДРИД В УСТРОЙСТВАХ	2870	4.2	SW		I	0
СУРЬМЯНЫЙ ПОРОШОК	2871	6.1	T5	60	III	2
ДИБРОМХЛОРПРОПАНЫ	2872	6.1	T1	60	II	2
ДИБРОМХЛОРПРОПАНЫ	2872	6.1	T1	60	III	2
ДИБУТИЛАМИНОЭТАНОЛ	2873	6.1	T1	60	III	2
СПИРТ ФУРФУРИЛОВЫЙ	2874	6.1	T1	60	III	2
ГЕКСАХЛОРОФЕН	2875	6.1	T2	60	III	2
РЕЗОРЦИН	2876	6.1	T2	60	III	2
ТИТАН ГУБЧАТЫЙ ГРАНУЛИРОВАННЫЙ	2878	4.1	F3	40	III	3
ТИТАН ГУБЧАТЫЙ ПОРОШКООБРАЗНЫЙ	2878	4.1	F3	40	III	3
СЕЛЕНОКСИХЛОРИД	2879	8	CT1	X886	I	1
КАЛЬЦИЯ ГИПОХЛОРИТ ГИДРАТИРОВАННЫЙ с содержанием воды не менее 5,5%, но не более 16%	2880	5.1	O2	50	II	2
КАЛЬЦИЯ ГИПОХЛОРИТА ГИДРАТИРОВАННАЯ СМЕСЬ с содержанием воды не менее 5,5%, но не более 16%	2880	5.1	O2	50	II	2
КАЛЬЦИЯ ГИПОХЛОРИТ ГИДРАТИРОВАННЫЙ с содержанием воды не менее 5,5%, но не более 16%	2880	5.1	O2	50	III	3
КАЛЬЦИЯ ГИПОХЛОРИТА ГИДРАТИРОВАННАЯ СМЕСЬ с содержанием воды не менее 5,5%, но не более 16%	2880	5.1	O2	50	III	3
КАТАЛИЗАТОР МЕТАЛЛИЧЕСКИЙ СУХОЙ	2881	4.2	S4	43	I	0
КАТАЛИЗАТОР МЕТАЛЛИЧЕСКИЙ СУХОЙ	2881	4.2	S4	40	II	2
КАТАЛИЗАТОР МЕТАЛЛИЧЕСКИЙ СУХОЙ	2881	4.2	S4	40	III	3
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ	2900	6.2	I2			0
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ, в охлажденном жидком азоте	2900	6.2	I2			0
ИНФЕКЦИОННОЕ ВЕЩЕСТВО, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ (только материалы животного происхождения)	2900	6.2	I2	606		0
БРОМА ХЛОРИД	2901	2	2TOC	265		1
ПЕСТИЦИД ЖИДКИЙ, ТОКСИЧНЫЙ, Н.У.К.	2902	6.1	T6	66	I	1
ПЕСТИЦИД ЖИДКИЙ, ТОКСИЧНЫЙ, Н.У.К.	2902	6.1	T6	60	II	2
ПЕСТИЦИД ЖИДКИЙ, ТОКСИЧНЫЙ, Н.У.К.	2902	6.1	T6	60	III	2
ПЕСТИЦИД ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К., с температурой вспышки не менее 23°С	2903	6.1	TF2	663	I	1
ПЕСТИЦИД ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К., с температурой вспышки не менее 23°С	2903	6.1	TF2	63	II	2
ПЕСТИЦИД ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К., с температурой вспышки не менее 23°С	2903	6.1	TF2	63	III	2
ХЛОРФЕНОЛЯТЫ ЖИДКИЕ	2904	8	C9	80	III	3
ФЕНОЛЯТЫ ЖИДКИЕ	2904	8	C9	80	III	3
ХЛОРФЕНОЛЯТЫ ТВЕРДЫЕ	2905	8	C10	80	III	3
ФЕНОЛЯТЫ ТВЕРДЫЕ	2905	8	C10	80	III	3
ИЗОСОРБИДДИНИТРАТА СМЕСЬ, содержащая не менее 60% лактозы, маннозы, крахмала или гидрофосфата кальция	2907	4.1	D		II	2
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ПОРОЖНИЙ УПАКОВОЧНЫЙ КОМПЛЕКТ	2908	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ПРИРОДНОГО УРАНА	2909	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ОБЕДНЕННОГО УРАНА	2909	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ПРИРОДНОГО ТОРИЯ	2909	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ОГРАНИЧЕННОЕ КОЛИЧЕСТВО МАТЕРИАЛА	2910	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ПРИБОРЫ	2911	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ	2911	7				4
РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-I), неделящийся или делящийся-освобожденный	2912	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-I или SCO-II), неделящийся или делящийся-освобожденный	2913	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, не особого вида, неделящийся или делящийся-освобожденный	2915	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА B(U), неделящийся или делящийся-освобожденный	2916	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА B(M), неделящийся или делящийся-освобожденный	2917	7		70		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, ТРАНСПОРТИРУЕМЫЙ В СПЕЦИАЛЬНЫХ УСЛОВИЯХ, неделящийся или делящийся-освобожденный	2919	7		70		0
КОРРОЗИОННАЯ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.	2920	8	CF1	883	I	1
КОРРОЗИОННАЯ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.	2920	8	CF1	83	II	2
КОРРОЗИОННОЕ ВЕЩЕСТВО ТВЕРДОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.	2921	8	CF2	884	I	1
КОРРОЗИОННОЕ ВЕЩЕСТВО ТВЕРДОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.	2921	8	CF2	84	II	2
КОРРОЗИОННАЯ ЖИДКОСТЬ ТОКСИЧНАЯ, Н.У.К.	2922	8	CT1	886	I	1
КОРРОЗИОННАЯ ЖИДКОСТЬ ТОКСИЧНАЯ, Н.У.К.	2922	8	CT1	86	II	2
КОРРОЗИОННАЯ ЖИДКОСТЬ ТОКСИЧНАЯ, Н.У.К.	2922	8	CT1	86	III	3
КОРРОЗИОННОЕ ВЕЩЕСТВО ТВЕРДОЕ ТОКСИЧНОЕ, Н.У.К.	2923	8	CT2	886	I	1
КОРРОЗИОННОЕ ВЕЩЕСТВО ТВЕРДОЕ ТОКСИЧНОЕ, Н.У.К.	2923	8	CT2	86	II	2
КОРРОЗИОННОЕ ВЕЩЕСТВО ТВЕРДОЕ ТОКСИЧНОЕ, Н.У.К.	2923	8	CT2	86	III	3
ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЖИДКОСТЬ КОРРОЗИОННАЯ, Н.У.К.	2924	3	FC	338	I	1
ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЖИДКОСТЬ КОРРОЗИОННАЯ, Н.У.К.	2924	3	FC	338	II	2
ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЖИДКОСТЬ КОРРОЗИОННАЯ, Н.У.К.	2924	3	FC	38	III	3
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2925	4.1	FC1	48	II	2
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2925	4.1	FC1	48	III	3
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ТОКСИЧНОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2926	4.1	FT1	46	II	2
ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ТОКСИЧНОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2926	4.1	FT1	46	III	3
ТОКСИЧНАЯ ЖИДКОСТЬ КОРРОЗИОННАЯ ОРГАНИЧЕСКАЯ, Н.У.К.	2927	6.1	TC1	668	I	1
ТОКСИЧНАЯ ЖИДКОСТЬ КОРРОЗИОННАЯ ОРГАНИЧЕСКАЯ, Н.У.К.	2927	6.1	TC1	68	II	2
ТОКСИЧНОЕ ТВЕРДОЕ ВЕЩЕСТВО КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2928	6.1	TC2	668	I	1
ТОКСИЧНОЕ ТВЕРДОЕ ВЕЩЕСТВО КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.	2928	6.1	TC2	68	II	2
ТОКСИЧНАЯ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ОРГАНИЧЕСКАЯ, Н.У.К.	2929	6.1	TF1	663	I	1
ТОКСИЧНАЯ ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ОРГАНИЧЕСКАЯ, Н.У.К.	2929	6.1	TF1	63	II	2
ТОКСИЧНОЕ ТВЕРДОЕ ВЕЩЕСТВО ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ОРГАНИЧЕСКОЕ, Н.У.К.	2930	6.1	TF3	664	I	1
ТОКСИЧНОЕ ТВЕРДОЕ ВЕЩЕСТВО ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ОРГАНИЧЕСКОЕ, Н.У.К.	2930	6.1	TF3	64	II	2
ВАНАДИЛСУЛЬФАТ	2931	6.1	T5	60	II	2
МЕТИЛ-2-ХЛОРПРОПИОНАТ	2933	3	F1	30	III	3
ИЗОПРОПИЛ-2-ХЛОРПРОПИОНАТ	2934	3	F1	30	III	3
ЭТИЛ-2-ХЛОРПРОПИОНАТ	2935	3	F1	30	III	3
КИСЛОТА ТИОМОЛОЧНАЯ	2936	6.1	T1	60	II	2
СПИРТ альфа-МЕТИЛБЕНЗИЛОВЫЙ	2937	6.1	T1	60	III	2
9-ФОСФАБИЦИКЛОНОНАНЫ (ЦИКЛООКТАДИЕНФОСФИНЫ)	2940	4.2	S2	40	II	2
ФТОРАНИЛИНЫ	2941	6.1	T1	60	III	2
2-ТРИФТОРМЕТИЛАНИЛИН	2942	6.1	T1	60	III	2
ТЕТРАГИДРОФУРФУРИЛАМИН	2943	3	F1	30	III	3
N-МЕТИЛБУТИЛАМИН	2945	3	FC	338	II	2
2-АМИНО-5-ДИЭТИЛАМИНОПЕНТАН	2946	6.1	T1	60	III	2
ИЗОПРОПИЛХЛОРАЦЕТАТ	2947	3	F1	30	III	3
3-ТРИФТОРМЕТИЛАНИЛИН	2948	6.1	T1	60	II	2
НАТРИЯ ГИДРОСУЛЬФИД КРИСТАЛЛОГИДРАТ, содержащий не менее 25% кристаллизационной воды	2949	8	C6	80	II	2
МАГНИЙ В ГРАНУЛАХ ПОКРЫТЫХ, размер частиц не менее 149 микрон	2950	4.3	W2	423	III	3
5-трет-БУТИЛ-2,4,6-ТРИНИТРО- м-КСИЛОЛ (КСИЛОЛ МУСКУСНЫЙ)	2956	4.1	SR1		III	3
ЭФИР БОРТРИФТОРДИМЕТИЛОВЫЙ	2965	4.3	WFC	382	I	0
ТИОГЛИКОЛЬ	2966	6.1	T1	60	II	2
КИСЛОТА СУЛЬФАМИНОВАЯ	2967	8	C2	80	III	3
МАНЕБ СТАБИЛИЗИРОВАННЫЙ против самонагревания	2968	4.3	W2	423	III	0
МАНЕБА ПРЕПАРАТ СТАБИЛИЗИРОВАННЫЙ против самонагревания	2968	4.3	W2	423	III	0
КАСТОРОВАЯ МУКА	2969	9	M11	90	II	2
КАСТОРОВЫЕ БОБЫ	2969	9	M11	90	II	2
КАСТОРОВЫЙ ЖМЫХ	2969	9	M11	90	II	2
КАСТОРОВЫЕ ХЛОПЬЯ	2969	9	M11	90	II	2
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УРАНА ГЕКСАФТОРИД, ДЕЛЯЩИЙСЯ	2977	7		768		0
РАДИОАКТИВНЫЙ МАТЕРИАЛ, УРАНА ГЕКСАФТОРИД, неделящийся или делящийся-освобожденный	2978	7		768		0
ЭТИЛЕНА ОКСИДА И ПРОПИЛЕНА ОКСИДА СМЕСЬ, содержащая не более 30% этилена оксида	2983	3	FT1	336	I	1
ВОДОРОДА ПЕРОКСИДА ВОДНЫЙ РАСТВОР, содержащий не менее 8%, но менее 20% пероксида водорода (стабилизированный, если необходимо)	2984	5.1	O1	50	III	3
ХЛОРСИЛАНЫ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У.К.	2985	3	FC	X338	II	2
ХЛОРСИЛАНЫ КОРРОЗИОННЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.	2986	8	CF1	X83	II	2
ХЛОРСИЛАНЫ КОРРОЗИОННЫЕ, Н.У.К.	2987	8	C3	X80	II	2
ХЛОРСИЛАНЫ, РЕАГИРУЮЩИЕ С ВОДОЙ, ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ КОРРОЗИОННЫЕ, Н.У. К.	2988	4.3	WFC	X338	I	0
СВИНЦА ФОСФИТ ДВУЗАМЕЩЕННЫЙ	2989	4.1	F3	40	II	2
СВИНЦА ФОСФИТ ДВУЗАМЕЩЕННЫЙ	2989	4.1	F3	40	III	3
СРЕДСТВА СПАСАТЕЛЬНЫЕ САМОНАДУВНЫЕ	2990	9	M5			3
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2991	6.1	TF2	663	I	1
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2991	6.1	TF2	63	II	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2991	6.1	TF2	63	III	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	2992	6.1	T6	66	I	1
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	2992	6.1	T6	60	II	2
ПЕСТИЦИД НА ОСНОВЕ КАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	2992	6.1	T6	60	III	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2993	6.1	TF2	63	III	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2993	6.1	TF2	663	I	1
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2993	6.1	TF2	63	II	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2994	6.1	T6	66	I	1
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2994	6.1	T6	60	II	2
ПЕСТИЦИД МЫШЬЯКСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2994	6.1	T6	60	III	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2995	6.1	TF2	663	I	1
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2995	6.1	TF2	63	II	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2995	6.1	TF2	63	III	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2996	6.1	T6	66	I	1
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2996	6.1	T6	60	II	2
ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ	2996	6.1	T6	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2997	6.1	TF2	663	I	1
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2997	6.1	TF2	63	II	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	2997	6.1	TF2	63	III	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ	2998	6.1	T6	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ	2998	6.1	T6	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ТОКСИЧНЫЙ	2998	6.1	T6	60	III	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3005	6.1	TF2	663	I	1
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3005	6.1	TF2	63	II	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3005	6.1	TF2	63	III	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	3006	6.1	T6	66	I	1
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	3006	6.1	T6	60	II	2
ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ТОКСИЧНЫЙ	3006	6.1	T6	60	III	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3009	6.1	TF2	663	I	1
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3009	6.1	TF2	63	II	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3009	6.1	TF2	63	III	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3010	6.1	T6	66	I	1
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3010	6.1	T6	60	II	2
ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3010	6.1	T6	60	III	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3011	6.1	TF2	663	I	1
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3011	6.1	TF2	63	II	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3011	6.1	TF2	63	III	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3012	6.1	T6	66	I	1
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3012	6.1	T6	60	II	2
ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ТОКСИЧНЫЙ	3012	6.1	T6	60	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3013	6.1	TF2	663	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3013	6.1	TF2	63	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3013	6.1	TF2	63	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ	3014	6.1	T6	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ	3014	6.1	T6	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ТОКСИЧНЫЙ	3014	6.1	T6	60	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3015	6.1	TF2	663	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3015	6.1	TF2	63	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3015	6.1	TF2	63	III	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ	3016	6.1	T6	66	I	1
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ	3016	6.1	T6	60	II	2
ПЕСТИЦИД — ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ТОКСИЧНЫЙ	3016	6.1	T6	60	III	2
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3017	6.1	TF2	663	I	1
ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ЖИДКИЙ ТОКСИЧНЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ с температурой вспышки не менее 23°С	3017	6.1	TF2	63	II	2
